condition,epoch,mean,std,min,max,n,source
Grasp pose prior,104,0.83955078125,0.030349340958957683,0.80615234375,0.88427734375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,105,0.8337890625,0.017018545469357188,0.82080078125,0.86083984375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,106,0.82080078125,0.02704126073437576,0.7890625,0.8505859375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,107,0.82451171875,0.012408493799965774,0.8154296875,0.845703125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,108,0.82177734375,0.02049909133758138,0.7978515625,0.85205078125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,109,0.827734375,0.02099439037421803,0.80517578125,0.857421875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,110,0.82685546875,0.009459307201736098,0.81982421875,0.8427734375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,111,0.82529296875,0.012397921517205106,0.81591796875,0.84375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,112,0.827734375,0.021351908742733232,0.79052734375,0.84130859375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,113,0.73779296875,0.11179561504984245,0.6142578125,0.85791015625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,114,0.844921875,0.017088448603767216,0.82666015625,0.8701171875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,115,0.83671875,0.022254593107214424,0.81201171875,0.865234375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,116,0.83720703125,0.010976015124808253,0.81787109375,0.84521484375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,117,0.83212890625,0.022203110052609765,0.79541015625,0.853515625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,118,0.83671875,0.013595805396424347,0.81787109375,0.85400390625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,119,0.83740234375,0.011086242714592508,0.826171875,0.85205078125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,120,0.83291015625,0.016181201548999255,0.810546875,0.85205078125,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,121,0.8296875,0.02283830828893612,0.798828125,0.853515625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,122,0.69306640625,0.0738650275146086,0.61669921875,0.7724609375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,123,0.85654296875,0.023193102383444637,0.8408203125,0.8974609375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,124,0.841015625,0.015408349070206578,0.82421875,0.85693359375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,125,0.83291015625,0.01696522645564763,0.80615234375,0.85107421875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,126,0.83720703125,0.013204374536378944,0.82666015625,0.859375,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,127,0.83603515625,0.0158462124026458,0.81591796875,0.85400390625,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
Grasp pose prior,128,0.84736328125,0.013271911928589428,0.8310546875,0.85888671875,5,/home/lzha/code/DEXTRAH/cluster_results/a1001/franka_cube_seed_sweep600_c7e66a0_20260612_092951/success_rate_plot_means.csv
