method,run,seed,tag,final_epoch,final_value,last20_mean,best_value
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_action_penalty,585,-0.0011092694476246834,-0.0011036709067411721,-0.0008060403633862734
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_approach_reward,585,1.1087088584899902,1.102727609872818,1.1087088584899902
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_close_action_reward,585,0.00678626075387001,0.0063230536412447694,0.2810917794704437
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_descend_action_penalty,585,-0.002178659662604332,-0.0014278196933446452,-0.0007386151701211929
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_enclosure_reward,585,0.6169053316116333,0.6139915138483047,0.6170440912246704
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_gripper_close_reg,585,-0.0014698086306452751,-0.0014805065235123037,-9.44273233471904e-06
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_height_tracking_reward,585,0.7400211691856384,0.6713483363389969,0.7822362780570984
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_lift_action_reward,585,0.0027408921159803867,0.0027603850699961185,0.38640648126602173
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_lift_reward,585,5.759929656982422,5.67338376045227,5.880632400512695
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_success_bonus,585,11.91650390625,11.744922637939453,12.202606201171875
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_table_clearance_penalty,585,0.0,0.0,0.0
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_traj_tracking_action_alignment_reward,585,0.0,0.0,0.0
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_traj_tracking_close_action_reward,585,0.3228166401386261,0.36223250478506086,1.210204839706421
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_traj_tracking_gripper_reward,585,0.03582380712032318,0.03722663484513759,0.10693739354610443
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_traj_tracking_lift_action_reward,585,0.4376643896102905,0.5137789100408554,0.935076117515564
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_traj_tracking_orientation_reward,585,0.00663185678422451,0.007309524668380618,0.05741778016090393
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_traj_tracking_position_reward,585,0.09157414734363556,0.09661453142762184,0.4974648356437683
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_traj_tracking_reward,585,0.8945108652114868,1.0171621054410935,2.279355525970459
tracking_loss,franka_cube_trackloss_default_b7e04f0_seed5_20260612_1042,5,Episode/cube_xy_stability_reward,585,0.47186803817749023,0.48135330229997636,0.9304852485656738
